iter	Passed	Remaining
1424	13558	1712
1425	13567	1703
1426	13576	1693
1427	13586	1684
1428	13595	1674
1429	13605	1665
1430	13615	1655
1431	13624	1646
1432	13634	1636
1433	13644	1627
1434	13654	1617
1435	13664	1608
1436	13674	1598
1437	13684	1589
1438	13693	1579
1439	13703	1570
1440	13713	1560
1441	13723	1551
1442	13733	1541
1443	13742	1532
1444	13751	1522
1445	13761	1513
1446	13770	1503
1447	13779	1494
1448	13789	1484
1449	13798	1475
1450	13807	1465
1451	13817	1455
1452	13826	1446
1453	13836	1436
1454	13846	1427
1455	13856	1417
1456	13866	1408
1457	13876	1399
1458	13886	1389
1459	13896	1380
1460	13905	1370
1461	13915	1361
1462	13925	1351
1463	13935	1342
1464	13945	1332
1465	13954	1323
1466	13964	1313
1467	13973	1304
1468	13982	1294
1469	13992	1285
1470	14001	1275
1471	14011	1265
1472	14020	1256
1473	14029	1246
1474	14039	1237
1475	14048	1227
1476	14058	1218
1477	14068	1208
1478	14078	1199
1479	14087	1189
1480	14097	1180
1481	14107	1170
1482	14117	1161
1483	14127	1151
1484	14136	1142
1485	14146	1132
1486	14156	1123
1487	14166	1113
1488	14175	1104
1489	14185	1094
1490	14195	1085
1491	14204	1075
1492	14214	1066
1493	14223	1056
1494	14232	1047
1495	14241	1037
1496	14251	1028
1497	14260	1018
1498	14270	1009
1499	14280	999
1500	14289	990
1501	14299	980
1502	14309	971
1503	14319	961
1504	14329	952
1505	14338	942
1506	14348	933
1507	14358	923
1508	14368	914
1509	14378	904
1510	14387	895
1511	14396	885
1512	14406	875
1513	14415	866
1514	14424	856
1515	14434	847
1516	14443	837
1517	14452	828
1518	14462	818
1519	14471	809
1520	14480	799
1521	14489	790
1522	14499	780
1523	14508	771
1524	14517	761
1525	14527	752
1526	14536	742
1527	14546	733
1528	14556	723
1529	14566	714
1530	14576	704
1531	14585	695
1532	14595	685
1533	14605	675
1534	14614	666
1535	14623	656
1536	14632	647
1537	14642	637
1538	14651	628
1539	14660	618
1540	14670	609
1541	14679	599
1542	14688	590
1543	14698	580
1544	14707	571
1545	14716	561
1546	14726	552
1547	14735	542
1548	14746	533
1549	14755	523
1550	14765	514
1551	14774	504
1552	14784	495
1553	14793	485
1554	14802	475
1555	14812	466
1556	14822	456
1557	14831	447
1558	14840	437
1559	14849	428
1560	14859	418
1561	14868	409
1562	14877	399
1563	14886	390
1564	14895	380
1565	14905	371
1566	14914	361
1567	14924	352
1568	14933	342
1569	14942	333
1570	14951	323
1571	14961	314
1572	14971	304
1573	14980	295
1574	14990	285
1575	15000	276
1576	15009	266
1577	15018	256
1578	15029	247
1579	15038	237
1580	15048	228
1581	15057	218
1582	15066	209
1583	15076	199
1584	15085	190
1585	15094	180
1586	15104	171
1587	15113	161
1588	15122	152
1589	15132	142
1590	15141	133
1591	15151	123
1592	15161	114
1593	15171	104
1594	15180	95
1595	15191	85
1596	15200	76
1597	15210	66
1598	15220	57
1599	15228	47
1600	15237	38
1601	15245	28
1602	15255	19
1603	15263	9
1604	15271	0
